Kecamatan Bengkel,Tanggal Servis,Jumlah Servis,is_lebaran,is_christmas,is_newyear,is_holiday
DISTRICT_A,2022-01-03,2981.0,0,0,1,1
DISTRICT_A,2022-01-10,3374.6666666666665,0,0,0,0
DISTRICT_A,2022-01-17,3541.0,0,0,0,0
DISTRICT_A,2022-01-24,4470.5,0,0,0,0
DISTRICT_A,2022-01-31,4450.0,0,0,0,0
DISTRICT_A,2022-02-07,4508.5,0,0,0,0
DISTRICT_A,2022-02-14,4583.0,0,0,0,0
DISTRICT_A,2022-02-21,4342.5,0,0,0,0
DISTRICT_A,2022-02-28,4378.0,0,0,0,0
DISTRICT_A,2022-03-07,4423.5,0,0,0,0
DISTRICT_A,2022-03-14,4470.5,0,0,0,0
DISTRICT_A,2022-03-21,4580.0,0,0,0,0
DISTRICT_A,2022-03-28,4775.0,0,0,0,0
DISTRICT_A,2022-04-04,4928.0,0,0,0,0
DISTRICT_A,2022-04-11,4967.0,0,0,0,0
DISTRICT_A,2022-04-18,5071.0,0,0,0,0
DISTRICT_A,2022-04-25,4994.0,1,0,0,0
DISTRICT_A,2022-05-02,4320.0,1,0,0,0
DISTRICT_A,2022-05-09,2062.0,1,0,0,0
DISTRICT_A,2022-05-16,3964.0,0,0,0,0
DISTRICT_A,2022-05-23,4065.5,0,0,0,0
DISTRICT_A,2022-05-30,4753.5,0,0,0,0
DISTRICT_A,2022-06-06,4781.5,0,0,0,0
DISTRICT_A,2022-06-13,4731.5,0,0,0,0
DISTRICT_A,2022-06-20,4706.5,0,0,0,0
DISTRICT_A,2022-06-27,4074.0,0,0,0,0
DISTRICT_A,2022-07-04,2910.5,0,0,0,0
DISTRICT_A,2022-07-11,1812.0,0,0,0,0
DISTRICT_A,2022-07-18,699.5,0,0,0,0
DISTRICT_A,2022-07-25,339.0,0,0,0,0
DISTRICT_A,2022-08-01,1526.5,0,0,0,0
DISTRICT_A,2022-08-08,2637.0,0,0,0,0
DISTRICT_A,2022-08-15,3575.0,0,0,0,0
DISTRICT_A,2022-08-22,4510.0,0,0,0,0
DISTRICT_A,2022-08-29,4590.0,0,0,0,0
DISTRICT_A,2022-09-05,4626.5,0,0,0,0
DISTRICT_A,2022-09-12,4807.0,0,0,0,0
DISTRICT_A,2022-09-19,4774.0,0,0,0,0
DISTRICT_A,2022-09-26,4134.0,0,0,0,0
DISTRICT_A,2022-10-03,3001.0,0,0,0,0
DISTRICT_A,2022-10-10,1888.5,0,0,0,0
DISTRICT_A,2022-10-17,827.0,0,0,0,0
DISTRICT_A,2022-10-24,214.0,0,0,0,0
DISTRICT_A,2022-10-31,1433.5,0,0,0,0
DISTRICT_A,2022-11-07,2522.0,0,0,0,0
DISTRICT_A,2022-11-14,3563.5,0,0,0,0
DISTRICT_A,2022-11-21,4681.0,0,0,0,0
DISTRICT_A,2022-11-28,4655.0,0,0,0,0
DISTRICT_A,2022-12-05,4737.5,0,0,0,0
DISTRICT_A,2022-12-12,4767.5,0,0,0,0
DISTRICT_A,2022-12-19,4714.0,0,1,0,1
DISTRICT_A,2022-12-26,4650.0,0,1,1,1
DISTRICT_A,2023-01-02,4696.5,0,0,1,1
DISTRICT_A,2023-01-09,4800.0,0,0,0,0
DISTRICT_A,2023-01-16,4690.0,0,0,0,0
DISTRICT_A,2023-01-23,4672.0,0,0,0,0
DISTRICT_A,2023-01-30,4754.0,0,0,0,0
DISTRICT_A,2023-02-06,4667.5,0,0,0,0
DISTRICT_A,2023-02-13,4674.5,0,0,0,0
DISTRICT_A,2023-02-20,4610.0,0,0,0,0
DISTRICT_A,2023-02-27,4599.0,0,0,0,0
DISTRICT_A,2023-03-06,4673.0,0,0,0,0
DISTRICT_A,2023-03-13,4896.0,0,0,0,0
DISTRICT_A,2023-03-20,4851.5,0,0,0,0
DISTRICT_A,2023-03-27,4745.0,0,0,0,0
DISTRICT_A,2023-04-03,4794.5,0,0,0,0
DISTRICT_A,2023-04-10,5004.5,0,0,0,0
DISTRICT_A,2023-04-17,5808.0,1,0,0,0
DISTRICT_A,2023-04-24,2374.0,1,0,0,0
DISTRICT_A,2023-05-01,4181.5,0,0,0,0
DISTRICT_A,2023-05-08,3914.5,0,0,0,0
DISTRICT_A,2023-05-15,4358.5,0,0,0,0
DISTRICT_A,2023-05-22,4680.0,0,0,0,0
DISTRICT_A,2023-05-29,4531.5,0,0,0,0
DISTRICT_A,2023-06-05,4538.0,0,0,0,0
DISTRICT_A,2023-06-12,4567.5,0,0,0,0
DISTRICT_A,2023-06-19,4554.5,0,0,0,0
DISTRICT_A,2023-06-26,4453.0,0,0,0,0
DISTRICT_A,2023-07-03,4504.0,0,0,0,0
DISTRICT_A,2023-07-10,4590.5,0,0,0,0
DISTRICT_A,2023-07-17,4435.0,0,0,0,0
DISTRICT_A,2023-07-24,4557.5,0,0,0,0
DISTRICT_A,2023-07-31,4689.0,0,0,0,0
DISTRICT_A,2023-08-07,4733.0,0,0,0,0
DISTRICT_A,2023-08-14,4696.0,0,0,0,0
DISTRICT_A,2023-08-21,4661.5,0,0,0,0
DISTRICT_A,2023-08-28,4714.0,0,0,0,0
DISTRICT_A,2023-09-04,4883.5,0,0,0,0
DISTRICT_A,2023-09-11,5145.0,0,0,0,0
DISTRICT_A,2023-09-18,5109.0,0,0,0,0
DISTRICT_A,2023-09-25,4824.0,0,0,0,0
DISTRICT_A,2023-10-02,4760.5,0,0,0,0
DISTRICT_A,2023-10-09,4735.0,0,0,0,0
DISTRICT_A,2023-10-16,4728.5,0,0,0,0
